Basho,Oguruma,Kagamiyama,Azumazeki,Minezaki,Nakagawa,Izutsu,Takanohana,Kasugayama,Asahiyama,Mihogaseki,Magaki,Hanaregoma,Nishonoseki,Nakamura,Hanakago,Oshima,Tagonoura,Takashima,Kiriyama,Araiso
1988.05,17-0-O Kotokaze--61-,15-2-Y Kashiwado--30-,18-0-S Takamiyama--6-,,,30-5-S Tsurugamine--27-,31-4-Y Wakanohana I--14-Futagoyama,,14-1-K Wakafutase--4-,22-2-O Masuiyama II--47-,31-0-Y Wakanohana II--43-,43-5-O Kaiketsu--18-,16-4-S Kongo--60-,18-0-S Fujizakura--55-,,30-1-O Asahikuni--67-,,,,
1988.07,19-0-O Kotokaze--61-,13-2-Y Kashiwado--30-,18-0-S Takamiyama--6-,,,30-5-S Tsurugamine--27-,31-4-Y Wakanohana I--14-Futagoyama,,14-1-K Wakafutase--4-,21-2-O Masuiyama II--47-,30-0-Y Wakanohana II--43-,39-5-O Kaiketsu--18-,16-3-S Kongo--60-,18-0-S Fujizakura--55-,,29-2-O Asahikuni--67-,,,,
1988.09,19-0-O Kotokaze--61-,13-2-Y Kashiwado--30-,18-0-S Takamiyama--6-,,,30-6-S Tsurugamine--27-,30-4-Y Wakanohana I--14-Futagoyama,,14-1-K Wakafutase--4-,21-2-O Masuiyama II--47-,31-0-Y Wakanohana II--43-,36-4-O Kaiketsu--18-,16-3-S Kongo--60-,18-0-S Fujizakura--55-,,27-2-O Asahikuni--67-,,,,
1988.11,16-0-O Kotokaze--61-,12-2-Y Kashiwado--30-,18-0-S Takamiyama--6-,,,30-6-S Tsurugamine--27-,26-4-Y Wakanohana I--14-Futagoyama,,13-1-K Wakafutase--4-,21-2-O Masuiyama II--47-,30-0-Y Wakanohana II--43-,33-5-O Kaiketsu--18-,15-2-S Kongo--60-,17-0-S Fujizakura--55-,,27-3-O Asahikuni--67-,,,,
1989.01,16-0-O Kotokaze--61-,10-2-Y Kashiwado--30-,17-0-S Takamiyama--6-,3-0-M2 Misugiiso-HB-50-,,30-6-S Tsurugamine--27-,24-4-Y Wakanohana I--14-Futagoyama,,13-1-K Wakafutase--4-,20-2-O Masuiyama II--47-,29-0-Y Wakanohana II--43-,30-4-O Kaiketsu--18-,15-2-S Kongo--60-,18-0-S Fujizakura--55-,,24-4-O Asahikuni--67-,,,,
1989.03,16-0-O Kotokaze--61-,12-2-Y Kashiwado--30-,20-0-S Takamiyama--6-,3-0-M2 Misugiiso--50-,,34-6-S Tsurugamine--27-,21-3-Y Wakanohana I--14-Futagoyama,,15-1-K Wakafutase--4-,22-2-O Masuiyama II--47-,33-0-Y Wakanohana II--43-,32-5-O Kaiketsu--18-,15-2-S Kongo--60-,16-0-S Fujizakura--55-,,24-4-O Asahikuni--67-,,,,
1989.05,17-0-O Kotokaze--61-,11-2-Y Kashiwado--30-,18-0-S Takamiyama--6-,3-0-M2 Misugiiso--50-,,33-6-S Tsurugamine--27-,20-3-Y Wakanohana I--14-Futagoyama,,15-1-K Wakafutase--4-,22-2-O Masuiyama II--47-,32-0-Y Wakanohana II--43-,32-5-O Kaiketsu--18-,15-2-S Kongo--60-,14-0-S Fujizakura--55-,,24-4-O Asahikuni--67-,,,,
1989.07,17-0-O Kotokaze--61-,11-2-Y Kashiwado--30-,17-0-S Takamiyama--6-,3-0-M2 Misugiiso--50-,,33-6-S Tsurugamine--27-,20-3-Y Wakanohana I--14-Futagoyama,,15-0-K Wakafutase--4-,22-2-O Masuiyama II--47-,32-0-Y Wakanohana II--43-,32-5-O Kaiketsu--18-,15-1-S Kongo--60-,14-0-S Fujizakura--55-,,23-4-O Asahikuni--67-,,,,
1989.09,17-0-O Kotokaze--61-,11-2-Y Kashiwado--30-,16-0-S Takamiyama--6-,3-0-M2 Misugiiso--50-,,33-6-S Tsurugamine--27-,20-3-Y Wakanohana I--14-Futagoyama,,15-0-K Wakafutase--4-,22-2-O Masuiyama II--47-,30-0-Y Wakanohana II--43-,30-4-O Kaiketsu--18-,15-1-S Kongo--60-,14-0-S Fujizakura--55-,,22-4-O Asahikuni--67-,,,,
1989.11,16-0-O Kotokaze--61-,11-2-Y Kashiwado--30-,15-0-S Takamiyama--6-,3-0-M2 Misugiiso--50-,,33-6-S Tsurugamine--27-,19-3-Y Wakanohana I--14-Futagoyama,,15-0-K Wakafutase--4-,21-2-O Masuiyama II--47-,31-0-Y Wakanohana II--43-,29-4-O Kaiketsu--18-,15-1-S Kongo--60-,14-0-S Fujizakura--55-,,22-4-O Asahikuni--67-,,,,
