Basho,Dewanoumi,Fujishima
1992.05,38,30
1992.07,39,30
1992.09,41,31
1992.11,39,31
1993.01,37,34
1993.03,38,35
1993.05,37,32
1993.07,38,27
1993.09,36,25
1993.11,37,25
1994.01,38,28
1994.03,39,30
1994.05,38,30
1994.07,39,30
1994.09,38,30
1994.11,36,30
1995.01,37,31
1995.03,36,34
1995.05,36,32
1995.07,37,31
1995.09,37,31
1995.11,36,30
1996.01,35,30
1996.03,38,34
1996.05,38,33
1996.07,38,32
1996.09,38,30
1996.11,34,30
1997.01,36,30
1997.03,36,33
1997.05,38,33
1997.07,37,32
1997.09,38,31
1997.11,34,31
1998.01,33,32
1998.03,34,33
1998.05,35,33
1998.07,32,32
1998.09,30,31
1998.11,29,31
1999.01,28,32
1999.03,28,30
1999.05,29,29
1999.07,27,30
1999.09,27,30
1999.11,27,30
2000.01,27,30
2000.03,27,32
2000.05,26,32
2000.07,24,31
2000.09,22,31
2000.11,20,31
2001.01,19,31
2001.03,21,35
2001.05,22,30
2001.07,21,29
2001.09,20,30
2001.11,20,30
2002.01,20,30
2002.03,20,32
2002.05,20,31
2002.07,20,31
2002.09,21,31
2002.11,21,30
2003.01,21,30
2003.03,24,31
2003.05,23,31
2003.07,22,31
2003.09,22,31
2003.11,22,31
2004.01,24,32
2004.03,26,33
2004.05,26,35
2004.07,26,35
2004.09,25,35
2004.11,24,33
2005.01,25,32
2005.03,26,30
2005.05,25,31
2005.07,24,30
2005.09,22,30
2005.11,22,28
2006.01,22,29
2006.03,22,31
2006.05,22,30
2006.07,21,30
2006.09,21,28
2006.11,21,27
2007.01,21,27
2007.03,22,26
2007.05,21,26
2007.07,21,26
2007.09,21,25
2007.11,21,25
2008.01,20,25
2008.03,20,25
2008.05,20,25
2008.07,19,23
2008.09,19,23
2008.11,18,21
2009.01,18,20
2009.03,19,21
2009.05,19,21
2009.07,19,19
2009.09,21,18
2009.11,20,18
2010.01,19,18
2010.03,19,17
2010.05,19,17
2010.07,19,16
2010.09,19,16
2010.11,18,16
2011.01,19,16
2011.05,18,16
2011.07,16,16
2011.09,16,14
2011.11,15,14
2012.01,15,14
2012.03,22,14
2012.05,22,14
2012.07,22,12
2012.09,22,12
2012.11,22,12
2013.01,22,14
2013.03,23,14
2013.05,22,11
2013.07,22,11
2013.09,22,11
2013.11,21,11
2014.01,21,13
2014.03,18,13
2014.05,18,13
2014.07,18,13
2014.09,18,13
2014.11,18,13
2015.01,18,13
2015.03,19,14
2015.05,19,14
2015.07,18,13
2015.09,18,13
2015.11,18,13
2016.01,18,13
2016.03,18,12
2016.05,19,13
2016.07,17,13
2016.09,17,13
2016.11,17,13
2017.01,16,14
2017.03,17,17
2017.05,17,17
2017.07,16,16
2017.09,16,17
2017.11,14,16
2018.01,14,16
2018.03,15,18
2018.05,15,12
2018.07,15,12
2018.09,15,12
2018.11,14,12
2019.01,14,14
2019.03,16,14
2019.05,16,14
2019.07,15,14
2019.09,16,14
2019.11,16,13
2020.01,16,14
2020.03,16,14
2020.07,16,14
2020.09,16,14
2020.11,16,14
2021.01,16,14
2021.03,17,14
2021.05,16,14
2021.07,15,13
2021.09,15,13
2021.11,15,14
2022.01,15,14
2022.03,18,14
2022.05,19,14
