Basho,Dewanoumi,Fujishima,Futagoyama
1981.07,45-4,,
1981.09,41-4,5-0,
1981.11,40-4,5-0,
1982.01,40-4,6-0,
1982.03,41-4,13-0,
1982.05,41-4,13-0,
1982.07,37-4,11-0,
1982.09,37-5,11-0,
1982.11,36-5,11-0,
1983.01,37-4,11-0,
1983.03,40-4,14-0,
1983.05,39-4,14-0,
1983.07,39-4,14-0,
1983.09,36-4,14-0,
1983.11,36-4,14-0,
1984.01,36-4,15-0,
1984.03,39-4,20-0,
1984.05,38-4,19-0,
1984.07,36-4,19-0,
1984.09,36-4,18-0,
1984.11,36-4,18-0,
1985.01,36-4,18-0,
1985.03,39-4,21-0,
1985.05,40-4,21-0,
1985.07,40-4,21-0,
1985.09,39-4,21-0,
1985.11,36-4,21-0,
1986.01,34-3,21-0,
1986.03,35-4,24-0,
1986.05,35-3,24-0,
1986.07,36-4,23-0,
1986.09,34-4,23-0,
1986.11,34-4,20-0,
1987.01,34-4,21-0,
1987.03,36-4,25-0,
1987.05,36-4,25-0,
1987.07,33-4,23-0,
1987.09,32-4,23-0,
1987.11,32-5,22-0,
1988.01,33-4,22-0,
1988.03,31-3,23-0,
1988.05,31-4,23-0,
1988.07,31-4,23-0,
1988.09,30-3,23-0,
1988.11,29-3,23-0,
1989.01,30-3,23-0,
1989.03,34-3,25-0,
1989.05,34-2,24-0,
1989.07,33-4,24-0,
1989.09,33-4,25-0,
1989.11,34-4,25-0,
1990.01,34-5,23-0,
1990.03,35-5,25-0,
1990.05,35-4,24-0,
1990.07,34-4,24-0,
1990.09,33-4,24-0,
1990.11,32-5,24-1,
1991.01,32-5,22-1,
1991.03,36-5,23-1,
1991.05,38-5,23-1,
1991.07,36-5,23-3,
1991.09,34-5,22-3,
1991.11,31-6,23-3,
1992.01,31-6,24-2,
1992.03,37-6,31-2,
1992.05,38-6,30-3,
1992.07,39-6,30-2,
1992.09,41-6,31-2,
1992.11,39-6,31-2,
1993.01,37-5,34-3,
1993.03,38-4,35-3,
1993.05,37-4,32-3,
1993.07,38-4,27-3,
1993.09,36-4,25-3,
1993.11,37-4,25-3,
1994.01,38-4,28-2,
1994.03,39-4,30-3,
1994.05,38-4,30-3,
1994.07,39-4,30-4,
1994.09,38-4,30-3,
1994.11,36-4,30-3,
1995.01,37-4,31-4,
1995.03,36-4,34-3,
1995.05,36-4,32-3,
1995.07,37-4,31-3,
1995.09,37-4,31-2,
1995.11,36-4,30-4,
1996.01,35-4,30-4,
1996.03,38-4,34-4,
1996.05,38-4,33-3,
1996.07,38-5,32-3,
1996.09,38-5,30-3,
1996.11,34-5,30-4,
1997.01,36-5,30-3,
1997.03,36-5,33-4,
1997.05,38-5,33-3,
1997.07,37-5,32-3,
1997.09,38-5,31-3,
1997.11,34-5,31-3,
1998.01,33-6,32-3,
1998.03,34-6,33-3,
1998.05,35-7,33-3,
1998.07,32-7,32-3,
1998.09,30-6,31-3,
1998.11,29-5,31-5,
1999.01,28-4,32-5,
1999.03,28-5,30-5,
1999.05,29-6,29-5,
1999.07,27-6,30-5,
1999.09,27-6,30-5,
1999.11,27-6,30-5,
2000.01,27-4,30-5,
2000.03,27-4,32-5,
2000.05,26-2,32-6,
2000.07,24-2,31-5,
2000.09,22-2,31-6,
2000.11,20-2,31-6,
2001.01,19-2,31-5,
2001.03,21-2,35-5,
2001.05,22-2,30-5,
2001.07,21-3,29-6,
2001.09,20-2,30-6,
2001.11,20-2,30-6,
2002.01,20-2,30-6,
2002.03,20-2,32-6,
2002.05,20-2,31-6,
2002.07,20-1,31-6,
2002.09,21-2,31-6,
2002.11,21-2,30-6,
2003.01,21-2,30-6,
2003.03,24-3,31-7,
2003.05,23-4,31-7,
2003.07,22-4,31-7,
2003.09,22-4,31-7,
2003.11,22-5,31-8,
2004.01,24-4,32-7,
2004.03,26-4,33-7,
2004.05,26-4,35-7,
2004.07,26-2,35-7,
2004.09,25-2,35-7,
2004.11,24-2,33-7,
2005.01,25-2,32-6,
2005.03,26-2,30-5,
2005.05,25-3,31-5,
2005.07,24-2,30-5,
2005.09,22-1,30-4,
2005.11,22-1,28-4,
2006.01,22-1,29-4,
2006.03,22-1,31-4,
2006.05,22-2,30-4,
2006.07,21-2,30-4,
2006.09,21-2,28-4,
2006.11,21-1,27-3,
2007.01,21-1,27-4,
2007.03,22-1,26-4,
2007.05,21-1,26-4,
2007.07,21-1,26-3,
2007.09,21-1,25-3,
2007.11,21-1,25-3,
2008.01,20-1,25-3,
2008.03,20-1,25-3,
2008.05,20-1,25-4,
2008.07,19-1,23-4,
2008.09,19-1,23-4,
2008.11,18-1,21-5,
2009.01,18-1,20-5,
2009.03,19-1,21-5,
2009.05,19-1,21-5,
2009.07,19-1,19-5,
2009.09,21-1,18-4,
2009.11,20-1,18-4,
2010.01,19-1,18-4,
2010.03,19-1,17-4,
2010.05,19-1,17-4,
2010.07,19-0,16-4,
2010.09,19-0,16-4,
2010.11,18-0,16-5,
2011.01,19-0,16-5,
2011.05,18-0,16-4,
2011.07,16-0,16-5,
2011.09,16-0,14-4,
2011.11,15-0,14-4,
2012.01,15-0,14-4,
2012.03,22-0,14-4,
2012.05,22-0,14-3,
2012.07,22-0,12-2,
2012.09,22-0,12-2,
2012.11,22-0,12-2,
2013.01,22-0,14-2,
2013.03,23-0,14-2,
2013.05,22-0,11-1,
2013.07,22-0,11-1,
2013.09,22-0,11-1,
2013.11,21-0,11-1,
2014.01,21-0,13-1,
2014.03,18-0,13-1,
2014.05,18-0,13-1,
2014.07,18-0,13-1,
2014.09,18-0,13-1,
2014.11,18-1,13-1,
2015.01,18-0,13-1,
2015.03,19-0,14-1,
2015.05,19-1,14-1,
2015.07,18-1,13-1,
2015.09,18-1,13-1,
2015.11,18-1,13-0,
2016.01,18-2,13-0,
2016.03,18-2,12-1,
2016.05,19-2,13-0,
2016.07,17-2,13-0,
2016.09,17-1,13-0,
2016.11,17-1,13-0,
2017.01,16-1,14-0,
2017.03,17-1,17-0,
2017.05,17-1,17-0,
2017.07,16-1,16-0,
2017.09,16-1,17-0,
2017.11,14-1,16-0,
2018.01,14-1,16-0,
2018.03,15-1,18-0,
2018.05,15-1,12-0,7-0
2018.07,15-1,12-0,6-0
2018.09,15-1,12-0,7-0
2018.11,14-1,12-0,7-0
2019.01,14-1,14-0,7-0
2019.03,16-1,14-0,9-0
2019.05,16-1,14-0,9-0
2019.07,15-1,14-0,9-0
2019.09,16-1,14-0,9-0
2019.11,16-1,13-0,9-0
2020.01,16-1,14-0,9-0
2020.03,16-1,14-0,10-0
2020.07,16-1,14-0,10-0
2020.09,16-1,14-0,10-0
2020.11,16-1,14-0,11-0
2021.01,16-1,14-0,11-0
2021.03,17-1,14-1,12-0
2021.05,16-1,14-1,13-0
2021.07,15-1,13-1,12-0
2021.09,15-1,13-1,13-0
2021.11,15-1,14-1,13-0
2022.01,15-1,14-1,13-0
2022.03,18-1,14-1,15-0
2022.05,19-1,14-1,15-0
